JobID,Order - Number,Order - Channel,BoxContent,MFPN,Item - SKU,FulfillableQty,Carrier - Service Requested,Fulfillment SKU,Warehouse Location,UPC,Item Name,Product ID,tagId,orderId,orderItemId
XTREME_56240_20260127_2201,400044927,web,CM-33-BEIGE,KM08,CM-33-BEIGE,1,UPS Ground,KM08,KM08,869597000288,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 31 x 22, Beige",5367582,56240,913866064,1720874885
XTREME_56240_20260127_2201,400044991,web,CLUB-PRESON-RED,GCM01,CLUB-PRESON-RED,1,UPS Ground,GCM01,GCM01,862096000476,Club Car Precedent/Onward - 1st row RED Trim,14380744,56240,914421459,1722160806
XTREME_56240_20260127_2201,113-7870396-3593062,amazon,GEN150-GRN,RFM05,GEN150-GRN,1,UPS Ground,RFM05,RFM05,810104280907,Genesis 150 / GTW Mach1 - Green Trim,41435943,56240,914444041,1722206119
XTREME_56240_20260127_2201,113-7870396-3593062,amazon,RFM-PINS-BUNDLE,RFMPB,RFM-PINS-BUNDLE,1,UPS Ground,RFM-PINS-BUNDLE,RFMPB,810104281669,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),44464313,56240,914444041,1722206120
XTREME_56240_20260127_2201,113-7870396-3593062,amazon,EZGO-TXTS4-GRN,GCM31,EZGO-TXTS4-GRN,1,UPS Ground,GCM31,GCM31,850009715432,EZGO TXT S4 - 1st row GREEN Trim,39362473,56240,914444041,1722206121
XTREME_56240_20260127_2201,400044998,web,CLUB-PRESON-RED,GCM01,CLUB-PRESON-RED,1,UPS Ground,GCM01,GCM01,862096000476,Club Car Precedent/Onward - 1st row RED Trim,14380744,56240,914475288,1722261528
XTREME_56240_20260127_2201,400044998,web,DM-CLUB-PRESON-RED,DM01,DM-CLUB-PRESON-RED,1,UPS Ground,DM01,DM01,850009715487,Dash Mats for Club Car Precedent/Onward RED Trim,38647045,56240,914475288,1722261529
XTREME_56240_20260127_2201,400045003,web,GEN150-BEIGE,RFM06,GEN150-BEIGE,1,STAMPS_COM Usps Parcel Select,RFM06,RFM06,810104280914,Genesis 150 / GTW Mach1 - Beige Trim,41435944,56240,914508563,1722322668
XTREME_56240_20260127_2201,400045003,web,RFM-PINS-BUNDLE,RFMPB,RFM-PINS-BUNDLE,1,STAMPS_COM Usps Parcel Select,RFM-PINS-BUNDLE,RFMPB,810104281669,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),44464313,56240,914508563,1722322669
XTREME_56240_20260127_2201,5117416608,,284163,KM06,284163,30,UPS Ground,KM06,KM06,863497000065,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 22 x 19, or 19 x 22 Beige",5367594,56240,914668572,1722645349
XTREME_56240_20260127_2201,5117416608,,284160,KM11,284160,22,UPS Ground,KM11,KM11,863497000089,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 25 x 19, Grey",5367593,56240,914668572,1722645350
