Order - Number,Order - Channel,BoxContent,MFPN,Item - SKU,FulfillableQty,Carrier - Service Requested,tagId,orderId,orderItemId
400044927,web,CM-33-BEIGE,KM08,CM-33-BEIGE,1,UPS Ground,56239,913866064,1720874885
468633147,,CM-24-BEIGE,KM22,CM-24-BEIGE,1,UPS Ground,56239,914361658,1722046566
81558895,,CM-30-BEIGE,KM10,CM-30-BEIGE,1,UPS Ground,56239,914373309,1722069206
85739043,,CM-30-BEIGE,KM10,CM-30-BEIGE,1,UPS Ground,56239,914401855,1722124818
5117408920,,345239,KM26,345239,2,UPS Ground,56239,914406690,1722133787
5117408919,,345240,KM31,345240,6,UPS Ground,56239,914406692,1722133789
85752164,,CM-33-GREY,KM18,CM-33-GREY,1,UPS Ground,56239,914422073,1722161715
88582140,,CM-42-BEIGE,KM32,CM-42-BEIGE,1,UPS Ground,56239,914445971,1722209966
400404448,,1221750,KM02,1221750,1,UPS Ground,56239,914448081,1722213465
400404674,,1221750,KM02,1221750,1,UPS Ground,56239,914448082,1722213466
400405792,,1221751,KM15,1221751,1,UPS Ground,56239,914448083,1722213467
400404801,,1221750,KM02,1221750,1,UPS Ground,56239,914448084,1722213468
400404801,,1221754,KM10,1221754,1,UPS Ground,56239,914448084,1722213469
400412868,,1221750,KM02,1221750,1,UPS Ground,56239,914466937,1722246141
85803407,,CM-36-BEIGE,KM02,CM-36-BEIGE,1,UPS Ground,56239,914481753,1722273070
85797010,,CM-30_GREY,KM09,CM-30_GREY,1,UPS Ground,56239,914481754,1722273071
200014219384020,walmart,FM37-CAPP,FM02,FM37-CAPP,1,STAMPS_COM Usps Parcel Select,56239,914346674,1722020552
400044988,web,CM-42-BEIGE,KM32,CM-42-BEIGE,1,UPS Ground,56239,914394466,1722109756
400044988,web,,,,1,UPS Ground,56239,914394466,1722109757
400044989,web,WS01,WS01,WS01,6,STAMPS_COM Usps Parcel Select,56239,914421456,1722160797
400044989,web,,,,1,STAMPS_COM Usps Parcel Select,56239,914421456,1722160798
400044990,web,FM27-SLATE,FM04,FM27-SLATE,1,UPS Ground,56239,914421453,1722160795
114-7469556-1396265,amazon,EZGO-RXV-BLUE,GCM20,EZGO-RXV-BLUE,1,UPS Ground,56239,914421380,1722160695
113-0384178-5997859,amazon,DM-CLUB-PRESON-BLUE,DM19,DM-CLUB-PRESON-BLUE,1,UPS Ground,56239,914422406,1722162334
113-0384178-5997859,amazon,BW-CLUB-PRESON-BLUE,BW19,BW-CLUB-PRESON-BLUE,1,UPS Ground,56239,914422406,1722162335
400044991,web,CLUB-PRESON-RED,GCM01,CLUB-PRESON-RED,1,UPS Ground,56239,914421459,1722160806
400044992,web,CM-24-BEIGE,KM22,CM-24-BEIGE,1,UPS Ground,56239,914444136,1722206418
114-3010593-5349865,amazon,RVS-SET-GREY,RVS-SET-GREY,RVS-SET-GREY,1,UPS Ground,56239,914444045,1722206148
400044993,web,DM-EZGO-RXV-RED,DM03,DM-EZGO-RXV-RED,1,UPS Ground,56239,914444137,1722206419
400044993,web,BW-EZGO-RXV-RED,BW03,BW-EZGO-RXV-RED,1,UPS Ground,56239,914444137,1722206420
400044993,web,EZGO-RXV-RED,GCM03,EZGO-RXV-RED,1,UPS Ground,56239,914444137,1722206421
111-3139737-7951443,amazon,CLUB-ONWARD-26-GREY,GCM166,CLUB-ONWARD-26-GREY,1,UPS Ground,56239,914444050,1722206159
113-7870396-3593062,amazon,GEN150-GRN,RFM05,GEN150-GRN,1,UPS Ground,56239,914444041,1722206119
113-7870396-3593062,amazon,RFM-PINS-BUNDLE,RFMPB,RFM-PINS-BUNDLE,1,UPS Ground,56239,914444041,1722206120
113-7870396-3593062,amazon,EZGO-TXTS4-GRN,GCM31,EZGO-TXTS4-GRN,1,UPS Ground,56239,914444041,1722206121
400044994,web,CMV-24-GREY,KM17,CMV-24-GREY,2,UPS Ground,56239,914444135,1722206416
400044994,web,CM-36-GREY,KM15,CM-36-GREY,1,UPS Ground,56239,914444135,1722206417
400044995,web,EZGO-RXV-BLK,GCM10,EZGO-RXV-BLK,1,UPS Ground,56239,914444139,1722206422
400044995,web,BW-EZGO-RXV-BLK,BW10,BW-EZGO-RXV-BLK,1,UPS Ground,56239,914444139,1722206423
113-0823394-3905817,amazon,EVOL-CLAS-SKY,GCM150,EVOL-CLAS-SKY,1,UPS Ground,56239,914459935,1722235258
200014418564330,walmart,velcro,velcro,velcro,1,UPS Ground,56239,914475124,1722261089
200014418564330,walmart,EPIC-E40FX-B-GREY,GCM158BV,EPIC-E40FX-B-GREY,1,UPS Ground,56239,914475124,1722261090
200014418564330,walmart,EPIC-E40FX-A-GREY,GCM158A,EPIC-E40FX-A-GREY,1,UPS Ground,56239,914475124,1722261091
111-9970829-5723400,amazon,CLUB-ONWARD-26-GREY,GCM166,CLUB-ONWARD-26-GREY,1,UPS Ground,56239,914474988,1722260845
400044996,web,velcro,velcro,velcro,1,UPS Ground,56239,914475289,1722261530
400044996,web,EVOL-D5-A-GREY,GCM80A,EVOL-D5-A-GREY,1,UPS Ground,56239,914475289,1722261531
400044996,web,EVOL-D5-B-GREY,GCM80B,EVOL-D5-B-GREY,1,UPS Ground,56239,914475289,1722261532
400044996,web,,,,1,UPS Ground,56239,914475289,1722261533
400044997,web,TDL-GREY,TDL-GREY,TDL-GREY,5,UPS Ground,56239,914475285,1722261520
400044997,web,TDL-BEIGE,TDL-BEIGE,TDL-BEIGE,5,UPS Ground,56239,914475285,1722261521
400044997,web,CMV-27-GREY,KM11,CMV-27-GREY,1,UPS Ground,56239,914475285,1722261522
400044997,web,,,,1,UPS Ground,56239,914475285,1722261523
400044998,web,CLUB-PRESON-RED,GCM01,CLUB-PRESON-RED,1,UPS Ground,56239,914475288,1722261528
400044998,web,DM-CLUB-PRESON-RED,DM01,DM-CLUB-PRESON-RED,1,UPS Ground,56239,914475288,1722261529
400044999,web,CM-24-BEIGE,KM22,CM-24-BEIGE,1,UPS Ground,56239,914487593,1722283961
400044999,web,,,,1,UPS Ground,56239,914487593,1722283962
400045000,web,ALUM-CLIP-BLK,ALGCB,ALUM-CLIP-BLK,1,UPS Ground,56239,914487597,1722283966
400045000,web,YAM-DR2-BLUE,GCM22,YAM-DR2-BLUE,1,UPS Ground,56239,914487597,1722283967
400045001,web,EPIC-E40FX-A-GREY,GCM158A,EPIC-E40FX-A-GREY,1,FEDEX Fedex Home Delivery,56239,914487578,1722283932
400045001,web,velcro,velcro,velcro,1,FEDEX Fedex Home Delivery,56239,914487578,1722283934
400045001,web,EPIC-E40FX-B-GREY,GCM158BV,EPIC-E40FX-B-GREY,1,FEDEX Fedex Home Delivery,56239,914487578,1722283935
400045001,web,EPIC-E40FX-A-RED,GCM171A,EPIC-E40FX-A-RED,1,FEDEX Fedex Home Delivery,56239,914487578,1722283936
400045001,web,velcro,velcro,velcro,1,FEDEX Fedex Home Delivery,56239,914487578,1722283937
400045001,web,EPIC-E40FX-B-RED,GCM171B,EPIC-E40FX-B-RED,1,FEDEX Fedex Home Delivery,56239,914487578,1722283938
400045002,web,WS01,WS01,WS01,6,UPS Ground,56239,914487588,1722283951
400045002,web,CM-36-BEIGE,KM02,CM-36-BEIGE,1,UPS Ground,56239,914487588,1722283952
400045002,web,CMV-24-BEIGE,KM06,CMV-24-BEIGE,1,UPS Ground,56239,914487588,1722283953
400045002,web,CMV-24-BEIGE,KM06,CMV-24-BEIGE,1,UPS Ground,56239,914487588,1722283954
113-3960144-8307409,amazon,EVOL-CLAS-SKY,GCM150,EVOL-CLAS-SKY,1,UPS Ground,56239,914498819,1722304733
200014095779991,walmart,FM37-SLATE,FM01,FM37-SLATE,1,STAMPS_COM Usps Parcel Select,56239,914498821,1722304735
400045003,web,GEN150-BEIGE,RFM06,GEN150-BEIGE,1,STAMPS_COM Usps Parcel Select,56239,914508563,1722322668
400045003,web,RFM-PINS-BUNDLE,RFMPB,RFM-PINS-BUNDLE,1,STAMPS_COM Usps Parcel Select,56239,914508563,1722322669
111-7403491-4123403,amazon,DM-CLUB-PRESON-BLK,DM09,DM-CLUB-PRESON-BLK,1,UPS Ground,56239,914508683,1722322968
111-7403491-4123403,amazon,CLUB-PRESON-BLK,GCM09,CLUB-PRESON-BLK,1,UPS Ground,56239,914508683,1722322969
400425577,,1221765,KM17,1221765,2,UPS Ground,56239,914522136,1722346554
400425577,,1221751,KM15,1221751,1,UPS Ground,56239,914522136,1722346555
400425577,,1221761,KM16,1221761,1,UPS Ground,56239,914522136,1722346556
400435151,,1221755,KM09,1221755,1,UPS Ground,56239,914531152,1722362367
400045004,web,TDL-BEIGE,TDL-BEIGE,TDL-BEIGE,1,UPS Ground,56239,914535339,1722372113
113-3352364-7037063,amazon,ALUM-CLIP-BLK,ALGCB,ALUM-CLIP-BLK,1,UPS Ground,56239,914568089,1722442520
113-3352364-7037063,amazon,YAM-DRIVE-BEIGE,GCM41,YAM-DRIVE-BEIGE,1,UPS Ground,56239,914568089,1722442522
111-2806682-9521038,amazon,EZGO-RXV-BEIGE,GCM37,EZGO-RXV-BEIGE,1,UPS Ground,56239,914568080,1722442508
111-8528687-9564266,amazon,EZGO-RXV-BLUE,GCM20,EZGO-RXV-BLUE,1,UPS Ground,56239,914568087,1722442518
400045005,web,CM-24-GREY,KM21,CM-24-GREY,1,UPS Ground,56239,914568336,1722442960
111-6023859-3127409,amazon,CLUB-DS-BLK,GCM15,CLUB-DS-BLK,1,UPS Ground,56239,914576783,1722460985
