Order - Status,Carrier - Service Sel,Date - Order Date,Date - Ship By Date,Order - Number,Item - SKU,MFPN,Item - Qty,Item - Name,Source,Market - Store Name,Order - Weight,Service - Package Type
Awaiting Shipment,UPS® Ground,2/2/2026 6:42:26 AM,,400045146,CLUB-ONWARD-26-BLK,GCM167,1,Club Car 2026 Onward & Tempo Floor Mat - All Black,web,Xtreme Mats,144.0,Package
Awaiting Shipment,UPS® Ground,2/2/2026 5:46:50 AM,2/2/2026 4:00:00 PM,112-0258177-2360216,CLUB-DS-BLK,GCM15,1,Club Car DS - 1st row BLACK Trim,amazon,Amazon Store,182.4,Package
Awaiting Shipment,UPS® Ground,2/1/2026 6:33:48 PM,,400045143,velcro,velcro,1,Velcro,web,Xtreme Mats,242.0,Package
Awaiting Shipment,UPS® Ground,2/1/2026 6:33:48 PM,,400045143,EVOL-D5-A-BLUE,GCM82A,1,Evolution D5 Floor Mat Set - Fits 2023+ D5 4 Passenger & 6 Passenger & 2+2 Models - Compatible With Ranger / Maverick Trims - Front Row Mat Only / Blue Trim,web,Xtreme Mats,242.0,Package
Awaiting Shipment,UPS® Ground,2/1/2026 6:33:48 PM,,400045143,EVOL-D5-B-BLUE,GCM82B,1,EVOL-D5-B-BLUE,web,Xtreme Mats,242.0,Package
Awaiting Shipment,UPS® Ground,2/1/2026 3:00:52 PM,2/2/2026 4:00:00 PM,114-4504162-5696202,CLUB-ONWARD-26-BLK,GCM167,1,"Xtreme Golf Cart Mats, Diamond Rubber Floor Mat Liner for 2026 Club Car Tempo & Onward Models (All Black)",amazon,Amazon Store,144.0,Package
Awaiting Shipment,UPS® Ground,2/1/2026 2:44:50 PM,2/2/2026 4:00:00 PM,111-5455638-4757854,GEN150-GREY,RFM02,1,Genesis 150 / GTW Mach1 - Grey Trim,amazon,Amazon Store,77.2,Package
Awaiting Shipment,UPS® Ground,2/1/2026 2:44:50 PM,2/2/2026 4:00:00 PM,111-5455638-4757854,RFM-PINS-BUNDLE,RFMPB,1,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),amazon,Amazon Store,77.2,Package
Awaiting Shipment,UPS® Ground,2/1/2026 2:29:16 PM,,400045139,EVOL-CLAS-BEIGE,GCM66,1,"Evolution Classic Pro, Plus 2 & 4 Seaters - Beige Trim",web,Xtreme Mats,128.0,Package
Awaiting Shipment,UPS® Ground,2/1/2026 2:09:47 PM,2/2/2026 4:00:00 PM,113-9012417-5523451,ALUM-CLIP-BLK,ALGCB,1,Aluminum Clips BLACK for Golf EZGO/YAM Set of 4,amazon,Amazon Store,162.0,Package
